#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential
1,best razors for men,us,,90,4.50,,,,,100,
2,electric razors for men,us,,40,1.00,,,,,40,
3,best electric razors for men,us,,20,0.70,,,,,20,
4,best razors for men 2018,us,,,,,,,,,
5,best razors for black men,us,,,4.00,,,,,,
6,"all purpose gillette styler: beard trimmer, men's razor & edger - fusion razors for men/style",us,,,,,,,,,
7,best razors for men 2019,us,,,,,,,,,
8,electric razors for black men,us,,,2.50,,,,,,
9,best razors for men face,us,,,,,,,,,
10,van der hagen double edge safety razors for men,us,,,,,,,,,
11,gillete razors for men,us,,,,,,,,,
12,best razors blades for men,us,,,,,,,,,
13,best electric razors for men 2017,us,,,,,,,,,
14,best facial razors for men,us,,,,,,,,,
15,"all purpose gillette styler: beard trimmer, men's razor & edger - fusion razors for men / styler",us,,,,,,,,,
16,best razors for shaving men,us,,,,,,,,,
17,electronic razors for men,us,,,,,,,,,
18,gillette razors for men,us,,,1.00,,,,,,
19,double edge butterfly safety razors for men,us,,,,,,,,,
20,razors for men,us,,,4.50,,,,,,
21,razors for black men,us,,,1.30,,,,,,
22,shaving razors for men,us,,,4.00,,,,,,
23,disposable razors for men,us,,,,,,,,,
24,"all purpose gillette styler: beard trimmer, men's razor & edger, fusion razors for men / styler",us,,,,,,,,,
25,top electric razors for black men,us,,,0.45,,,,,,
26,gillette deposial razors for men,us,,,,,,,,,
27,top 5 razors for men,us,,,,,,,,,
28,best electric razors for men with beards,us,,,,,,,,,
29,razors for men of color,us,,,,,,,,,
30,best electric razors with adjustable lenghts for men 2017,us,,,,,,,,,
31,schick hydro 5 disposable razors for men,us,,,,,,,,,
